length,twist,mult
3.883336778518948,2.3308938367477725,2
3.887488512128771,-1.068136263204983,1
3.8881972762730785,-2.1984930687160205,4
3.8932170278336256,2.26457703192562,4
3.893724302907678,1.485965019844078,4
3.8958418236330257,2.83156236851553,4
3.916881994132486,-3.017512345509001,1
3.921898121342619,1.9192123550064855,2
3.9256387649835585,0.5759432708020147,2
3.9293662955084625,-2.922361141013112,2
3.932444477767658,0.9387813823258857,2
3.9432929268831702,-1.822676219210652,4
3.9499212470169867,-1.1054657818541762,4
3.953591444396571,1.6838240422263566,4
3.957663794117001,2.626586994015072,2
3.983788717378887,0.4537414174260573,4
3.994204631577934,-2.898010345610111,4
4.0043976765088605,-0.5070847315823876,2
4.011857826473621,-0.42681010074359216,2
4.013516704625462,-0.5545353111732765,2
4.0302681505995235,-0.6249948797643131,2
4.041465370032668,0.16057675896386023,2
4.0416065328798,-2.6382881161320983,4
4.042907417855908,1.7175542572444313,4
4.0473441323908474,-1.3322928872015936,2
4.049669658588522,1.654552100220414,4
4.051698097957162,1.0269739721199913,2
4.0530478614978005,-1.0193681521361677,4
4.057270617277989,-2.4688164298289745,2
4.059914468044349,-1.6489369238011697,2
4.071931554845068,1.3734094511572972,1
4.080454536573412,-1.4946712528283541,2
4.088644911637799,-2.0931360295332904,4
4.092847926350345,2.0385901484155293,2
4.099683226710995,2.5806063757176174,2
4.109892828347478,2.1836384322217266,2
4.117695739162853,-2.6873577979458174,2
4.122815407388601,-0.9041146074189723,4
4.1308588581085735,-1.9565047138681113,2
4.131860776600598,0.5356228443181645,2
4.138621837379225,3.138713380182423,4
4.143205321643106,0.10687636301971788,2
4.147837588078692,-2.339171063753893,4
4.151810830266363,-1.2788209710479073,2
4.154380468323647,-3.0878171745056746,2
4.155614702294439,-2.3795617575765426,1
4.172238142924129,0.5477285559977932,2
4.173128850942667,-0.3460235349086989,4
4.173776469379202,-0.8245411645948235,4
4.174219493629139,2.700466455222759,4
4.181466988169855,0.04244974753761538,2
4.188481969068819,3.0621109107708753,4
4.206267142313115,-2.069951885362814,4
4.212310646247676,-0.3963115549694249,2
4.217023914860204,-1.1100974819330092,2
4.2204807339001285,1.9812618627939012,2
4.221775926970341,0.5609598515921317,1
4.2235532899626556,0.056249754551972515,2
4.223802866606349,-1.7389571341817138,1
4.229505041221252,1.8898334437249225,2
4.233349930986272,-0.5162891000370741,4
4.2423922552179745,-2.8508402648711,4
4.243795360610901,-2.8672382040375193,2
4.253385647355201,1.2263904871797737,2
4.257210109925768,-2.521092807946881,2
4.264891915627462,1.2578467036247387,4
4.268664239057343,2.4998185528380943,2
4.2765699440072,0.5375061270374265,1
4.280201789679287,1.474523646644798,4
4.286635177755985,0.17358018113363421,2
4.288710062433341,-1.2456369128798228,4
4.291173487206503,-2.881063027282837,4
4.29837251176481,2.682196352986668,4
4.303880128107454,1.2550725661581463,2
4.30622446003275,-0.3109609177622329,2
4.312669501346929,-0.09613593891546734,4
4.327663448383474,-1.8869541565066659,2
4.336454385244385,-3.1332470942347994,4
4.344632417230914,0.24321036908720195,2
4.351288857205874,1.2506598656847332,4
4.352755434591767,-2.604225687902937,2
4.355160279377775,-2.7162194173477556,2
4.359415338952658,-0.9754665464347637,2
4.361043519108371,-0.31635125468306374,2
4.364345755409593,-1.001819597028437,4
4.367641932162379,-3.0894038087906006,4
4.370336559208794,-2.5350735733255734,2
4.371537685105188,-2.0438397836391613,2
4.375458237067626,1.989500219719439,4
4.377073592460706,-2.0708120373324026,4
4.378247076322371,2.0429606068520076,2
4.379274390203284,0.9502377311571104,4
4.381209577970324,-1.496813915372119,2
4.381453321468173,-2.1534897046327464,4
4.390142072056531,-2.2672898761610445,4
4.391810957231868,0.9150418337894194,2
4.400450674547725,0.19222515350165112,2
4.404622567918466,1.5232158256684567,2
4.406011454728391,2.2078958240005786,4
4.407104970983409,0.153709238603172,6
4.408781637756993,3.0481183306899893,2
4.408907993063609,2.0904326912264133,2
4.410357793203277,3.1238932379091224,4
4.412181032064817,-0.03306994140986114,4
4.413230891130022,1.5078780934698324,2
4.4140247578697736,-0.68681238592052,4
4.418474397505737,-3.0655098754102927,2
4.41947066331567,-1.9708017097670807,2
4.429726933671079,-0.4289919864679174,4
4.430725647967638,-2.8659174371194465,2
4.431430258926513,0.698297215917311,4
4.437245817362823,1.133266641945412,2
4.439064092144219,1.171497529018382,2
4.439394434090815,2.66766890243579,2
4.443101488464304,1.7741562646326017,4
4.44362387157113,-0.7288221309524544,2
4.453113626318371,0.2690767279719836,2
4.4564767825113485,-0.062037070062872075,2
4.457357377123349,-1.9721176248397492,1
4.463397667644991,-1.1290593622573242,2
4.466407862583198,-2.4939565656200915,2
4.467599468890752,-1.3824428418657897,4
4.468282005169213,1.025449373338696,4
4.472280448285027,0.9069431364123486,2
4.475339513178243,1.4354875104236375,4
4.475903158617324,1.9395725814226827,4
4.47831109809431,-1.348594600678492,2
4.490975189763805,-2.1102687068532906,4
4.491023413671003,-1.9668071389708692,4
4.492815064033788,2.929432578768058,4
4.493180386489523,-2.1536306904807834,2
4.493281165401436,0.8997253441052132,1
4.504310048797514,-2.884495505679606,4
4.506791672449471,-2.669444465237411,2
4.507466078258148,-0.6328124984585284,2
4.508176267191269,2.5547028284855533,1
4.51430133873231,-0.052291378389735986,2
